"gamma"	"tau"	"n2"	"n1"	"loadings"	"varw"	"ASR"	"Pwr"	"cr"	"secr"	"biascr"	"RBcr"	"RSEBcr"	"MSEcr"
"31"	0	0.1	200	20	1	1	1	0.048	-0.00114202073329484	0.117842565791552	-0.00114202073329484	NA	0.00892014361039345	0.0136437046694933
"67"	0	0.1	200	20	2	1	1	0.058	-0.00238603364456767	0.105957288922157	-0.00238603364456767	NA	-0.0139095039621117	0.0115516021288164
"103"	0	0.1	200	20	3	1	1	0.039	0.00377917211950049	0.0947298641914825	0.00377917211950049	NA	0.0222216707177665	0.00860211655906354
"139"	0	0.1	200	20	1	2	1	0.043	-0.00237692016724219	0.117961571341975	-0.00237692016724219	NA	0.0362574288331856	0.0129638827345056
"175"	0	0.1	200	20	2	2	1	0.043	0.000782235932863002	0.106504780425999	0.000782235932863002	NA	-0.00575461285263575	0.0114755680068143
"211"	0	0.1	200	20	3	2	1	0.047	-0.00630852089425893	0.0947690153969592	-0.00630852089425893	NA	-0.0268640831964155	0.00952367051427025
"4"	0	0.25	50	10	1	1	1	0.047	0.0125609309654106	0.257963529804318	0.0125609309654106	NA	-0.0313540945296927	0.0710806839143728
"40"	0	0.25	50	10	2	1	1	0.063	0.00585769576371058	0.230964733805041	0.00585769576371058	NA	0.00504423648795053	0.0528448989584207
"76"	0	0.25	50	10	3	1	1	0.053	0.00173208195545323	0.206472164236274	0.00173208195545323	NA	-0.0191992050856897	0.0443190866511537
"112"	0	0.25	50	10	1	2	1	0.05	-0.00736451261386577	0.257398838809109	-0.00736451261386577	NA	-0.0184740219779865	0.0688259058989733
"148"	0	0.25	50	10	2	2	1	0.058	-0.004956267070485	0.231367394576717	-0.004956267070485	NA	-0.068563043920943	0.0617263003631385
"184"	0	0.25	50	10	3	2	1	0.046	0.00849860914032975	0.209399510742066	0.00849860914032975	NA	0.0206333668987781	0.0421654125687092
"22"	0	0.25	50	20	1	1	0.999	0.057	-0.00109543121385387	0.229247845078424	-0.00109543121385387	NA	-0.0298570670174013	0.0558403855209551
"58"	0	0.25	50	20	2	1	1	0.046	0.0004495977905684	0.20626047205674	0.0004495977905684	NA	-0.017498094426987	0.0440724510296873
"94"	0	0.25	50	20	3	1	1	0.06	0.00114213853879485	0.185262928385878	0.00114213853879485	NA	-0.0262454002911744	0.036198756799182
"130"	0	0.25	50	20	1	2	1	0.053	0.00502815323821879	0.229715744028413	0.00502815323821879	NA	-0.0250468196193063	0.0555407499366095
"166"	0	0.25	50	20	2	2	1	0.053	-0.00390921991681611	0.20703581496327	-0.00390921991681611	NA	-0.0327073321656766	0.045826851281791
"202"	0	0.25	50	20	3	2	1	0.047	0.00551259583023349	0.185554866662674	0.00551259583023349	NA	0.0242685869515236	0.0328487575323475
"10"	0	0.25	100	10	1	1	1	0.044	-0.00365634393736593	0.181319950279927	-0.00365634393736593	NA	0.0225374518825323	0.0314570030576451
"46"	0	0.25	100	10	2	1	1	0.052	-0.00105881017817586	0.164404829425911	-0.00105881017817586	NA	0.0274273136795214	0.0256062476894158
"82"	0	0.25	100	10	3	1	1	0.044	0.00466023124455527	0.146397483170972	0.00466023124455527	NA	0.015141961842078	0.0208193388073614
"118"	0	0.25	100	10	1	2	1	0.033	-0.00721962419564222	0.18241090532652	-0.00721962419564222	NA	0.0596211058028095	0.0296868135767188
"154"	0	0.25	100	10	2	2	1	0.054	-0.00504489571872883	0.164962890343125	-0.00504489571872883	NA	-0.0112625701926056	0.0278616904641452
"190"	0	0.25	100	10	3	2	1	0.048	0.00684981408177019	0.14761730902315	0.00684981408177019	NA	-0.000336994404659101	0.0218524841060572
"28"	0	0.25	100	20	1	1	1	0.051	-0.00115908857841436	0.162417531449741	-0.00115908857841436	NA	0.0103093155531606	0.0258451866059053
"64"	0	0.25	100	20	2	1	1	0.04	0.00193815992693353	0.146912863081773	0.00193815992693353	NA	0.0278016288105575	0.0204352936191973
"100"	0	0.25	100	20	3	1	1	0.039	0.00473684593252113	0.131000916135234	0.00473684593252113	NA	0.0298062168511124	0.016204640789256
"136"	0	0.25	100	20	1	2	1	0.045	-0.0099028755298966	0.163109402217738	-0.0099028755298966	NA	-0.0291779423363323	0.0283259767906561
"172"	0	0.25	100	20	2	2	1	0.061	-0.00202049843061917	0.147256510155346	-0.00202049843061917	NA	-0.0277955922615081	0.0229462176949592
"208"	0	0.25	100	20	3	2	1	0.046	0.0090994850730754	0.131231812810629	0.0090994850730754	NA	0.0249534919376419	0.0164762346637194
"16"	0	0.25	200	10	1	1	1	0.05	0.00143238320879001	0.128680809963778	0.00143238320879001	NA	-0.00182354994395678	0.0166213595856826
"52"	0	0.25	200	10	2	1	1	0.051	-0.000442912818601952	0.116440042583656	-0.000442912818601952	NA	0.000846195675434742	0.0135355628591756
"88"	0	0.25	200	10	3	1	1	0.048	-0.00365788124821161	0.103868868912458	-0.00365788124821161	NA	0.0231979799165682	0.0103184622071157
"124"	0	0.25	200	10	1	2	1	0.057	-0.00216127409278066	0.12917139245408	-0.00216127409278066	NA	-0.0310975547279387	0.0177781555563214
"160"	0	0.25	200	10	2	2	1	0.048	0.0103442682883669	0.1164094739319	0.0103442682883669	NA	-0.00428210043784508	0.0137749741290915
"196"	0	0.25	200	10	3	2	1	0.042	0.00400202952052123	0.104588136420225	0.00400202952052123	NA	0.00475123493121454	0.0108514861910588
"34"	0	0.25	200	20	1	1	1	0.056	0.00208386898954501	0.115017209651636	0.00208386898954501	NA	0.00224979100646518	0.0131739765188237
"70"	0	0.25	200	20	2	1	1	0.035	4.85653949962469e-05	0.103855078424385	4.85653949962469e-05	NA	0.0505529656408227	0.00977281493383475
"106"	0	0.25	200	20	3	1	1	0.055	-0.00195316531531417	0.0925672024378819	-0.00195316531531417	NA	-0.0299851723553055	0.00911044149659683
"142"	0	0.25	200	20	1	2	1	0.047	-0.000677036288898325	0.115341891412406	-0.000677036288898325	NA	0.0229069519833376	0.0127150342357391
"178"	0	0.25	200	20	2	2	1	0.047	-0.00447196389707524	0.104158728453532	-0.00447196389707524	NA	-0.00718343543253395	0.011026601661063
"214"	0	0.25	200	20	3	2	1	0.041	-0.00336362548944944	0.0929180504899435	-0.00336362548944944	NA	0.0115490078312349	0.00844905752787099
