"gamma"	"tau"	"n2"	"n1"	"loadings"	"varw"	"ASR"	"Pwr"	"cr"	"secr"	"biascr"	"RBcr"	"RSEBcr"	"MSEcr"
"42"	0.4	0.25	50	10	2	1	0.964	0.36	0.411204	0.254031	0.011204	0.02801	0.0155427238524376	0.062697097567952
"78"	0.4	0.25	50	10	3	1	0.959	0.355	0.404991	0.254841	0.00499099999999997	0.0124774999999999	-0.0613342921136371	0.0737332613512703
"114"	0.4	0.25	50	10	1	2	0.948	0.353	0.388831	0.25199	-0.011169	-0.0279225000000001	-0.0507551323616759	0.0705956919453844
"150"	0.4	0.25	50	10	2	2	0.931	0.36	0.403743	0.253277	0.003743	0.00935749999999999	0.0146045112591816	0.0623297747647157
"186"	0.4	0.25	50	10	3	2	0.938	0.331	0.395973	0.254847	-0.004027	-0.0100675	0.00838770271466446	0.0638872540373083
"24"	0.4	0.25	50	20	1	1	1	0.445	0.405024	0.225179	0.00502399999999997	0.0125599999999999	-0.0300814708763204	0.053924805564989
"60"	0.4	0.25	50	20	2	1	0.997	0.419	0.39765	0.227065	-0.00235000000000002	-0.00587500000000005	0.0248109471076553	0.0490977662437437
"96"	0.4	0.25	50	20	3	1	0.998	0.428	0.394325	0.225695	-0.00567500000000004	-0.0141875000000001	-0.0480765884078587	0.0562456064007758
"132"	0.4	0.25	50	20	1	2	0.997	0.443	0.397494	0.225194	-0.00250600000000001	-0.00626500000000002	-0.0250063162811138	0.053353283002967
"168"	0.4	0.25	50	20	2	2	0.998	0.407	0.39418	0.226471	-0.00582000000000005	-0.0145500000000001	-0.0802941836814259	0.0606694235511512
"204"	0.4	0.25	50	20	3	2	0.99	0.433	0.404595	0.226783	0.00459499999999996	0.0114874999999999	-0.0139332452909318	0.0529153512372122
"12"	0.4	0.25	100	10	1	1	0.997	0.605	0.406623	0.180324	0.00662299999999999	0.0165575	0.00492253289685042	0.0322428279638348
"48"	0.4	0.25	100	10	2	1	0.999	0.61	0.404283	0.180716	0.00428299999999998	0.0107075	-0.0204894829201442	0.0340572038597708
"84"	0.4	0.25	100	10	3	1	1	0.606	0.403677	0.181234	0.00367699999999999	0.00919249999999996	-0.00669644376073847	0.0333036411207918
"120"	0.4	0.25	100	10	1	2	0.996	0.587	0.391518	0.180425	-0.00848200000000005	-0.0212050000000001	-0.0063167347360229	0.033040314370046
"156"	0.4	0.25	100	10	2	2	0.998	0.605	0.404383	0.180143	0.00438299999999997	0.0109574999999999	-0.0604469122728046	0.0367806184077187
"192"	0.4	0.25	100	10	3	2	0.995	0.604	0.400941	0.181309	0.00094099999999997	0.00235249999999992	0.00555437291819085	0.0325116817963153
"30"	0.4	0.25	100	20	1	1	1	0.705	0.399359	0.161543	-0.000641000000000003	-0.00160250000000001	0.0172893400702832	0.0252170556447638
"66"	0.4	0.25	100	20	2	1	1	0.715	0.40644	0.161103	0.00644	0.0161	0.0190252000593362	0.0250355680944945
"102"	0.4	0.25	100	20	3	1	1	0.688	0.401489	0.161554	0.00148899999999996	0.00372249999999991	-0.0113769569898914	0.0267060728557347
"138"	0.4	0.25	100	20	1	2	1	0.704	0.400173	0.160974	0.000172999999999979	0.000432499999999947	-0.0285335645962298	0.0274572061762472
"174"	0.4	0.25	100	20	2	2	0.999	0.705	0.407265	0.161611	0.00726499999999997	0.0181624999999999	-0.00853592405541594	0.0266225547745495
"210"	0.4	0.25	100	20	3	2	1	0.663	0.389629	0.161795	-0.010371	-0.0259275	0.00163017922781061	0.0262000394818408
"18"	0.4	0.25	200	10	1	1	1	0.89	0.40469	0.128234	0.00468999999999997	0.0117249999999999	0.0150514471995831	0.0159818999038038
"54"	0.4	0.25	200	10	2	1	1	0.871	0.402834	0.128677	0.002834	0.00708500000000001	-0.0411595247402016	0.0180178418102543
"90"	0.4	0.25	200	10	3	1	1	0.863	0.398364	0.12921	-0.00163600000000003	-0.00409000000000007	-0.0130519918543186	0.0171423957192232
"126"	0.4	0.25	200	10	1	2	1	0.864	0.391446	0.128164	-0.00855400000000001	-0.021385	0.0374195920104484	0.0153355844134975
"162"	0.4	0.25	200	10	2	2	1	0.86	0.391027	0.128654	-0.00897300000000001	-0.0224325	0.0317683964828814	0.0156287872725435
